cgpa,projects,certifications,experience_level,skills,role
5.91,5,2,2,"Azure, Cloud Architecture, GCP, Dart, Adobe XD",Cloud Computing Intern
9.86,1,3,1,"Dart, Firebase, Flutter, Statistics, AWS",Flutter Developer Intern
8.97,4,1,2,"Python, Data Visualization, Statistics, HTML, TensorFlow",Data Science Intern
5.64,0,3,0,"Pandas, Data Visualization, Statistics, Adobe XD, Terraform",Data Science Intern
6.87,5,3,2,"Excel, Recruitment, Communication, Azure, Firebase",HR Operations Intern
7.7,5,3,2,"Pandas, Machine Learning, TensorFlow, Mobile Development, Wireframing",AI/ML Engineer Intern
9.45,2,2,1,"Flutter, Dart, Mobile Development, Machine Learning, CSS",Flutter Developer Intern
7.69,2,3,0,"Recruitment, MS Office, Excel, JavaScript, Jenkins",HR Operations Intern
6.76,5,2,0,"TensorFlow, Machine Learning, NumPy, Linux, Wireframing",AI/ML Engineer Intern
6.83,1,2,1,"Wireframing, Prototyping, Adobe XD, Python, Data Visualization",UI/UX Design Intern
8.65,3,3,0,"TensorFlow, Python, Machine Learning, Bash, Linux",AI/ML Engineer Intern
8.05,2,0,1,"Statistics, Python, Data Visualization, Machine Learning, User Research",Data Science Intern
8.09,1,2,0,"Pandas, TensorFlow, Python, CI/CD, MongoDB",AI/ML Engineer Intern
5.68,0,0,0,"Machine Learning, Python, Pandas, CI/CD, Communication",AI/ML Engineer Intern
9.81,3,2,1,"NumPy, TensorFlow, Python, HTML, User Research",AI/ML Engineer Intern
9.2,1,1,0,"Terraform, Azure, GCP, Mobile Development, Statistics",Cloud Computing Intern
7.19,0,0,0,"Figma, Prototyping, Wireframing, MS Office, Mobile Development",UI/UX Design Intern
5.98,4,3,1,"Linux, CI/CD, Jenkins, Node.js, Mobile Development",DevOps Intern
9.94,0,2,0,"Flutter, Firebase, Dart, React, Cloud Architecture",Flutter Developer Intern
6.71,1,1,1,"SQL, Data Visualization, Statistics, Azure, Wireframing",Data Science Intern
9.6,5,2,1,"Linux, Jenkins, Docker, React, Adobe XD",DevOps Intern
8.5,1,0,1,"HTML, Node.js, React, Excel, Recruitment",Full Stack Developer Intern
7.17,5,1,1,"HTML, MongoDB, React, Jenkins, SQL",Full Stack Developer Intern
7.04,0,3,1,"Flutter, Mobile Development, Dart, GCP, Pandas",Flutter Developer Intern
6.28,0,2,2,"MongoDB, HTML, Node.js, AWS, Adobe XD",Full Stack Developer Intern
8.96,5,0,1,"JavaScript, React, Node.js, Recruitment, Azure",Full Stack Developer Intern
8.79,0,1,2,"React, JavaScript, MongoDB, Dart, Mobile Development",Full Stack Developer Intern
6.53,2,1,1,"Node.js, React, MongoDB, Communication, Dart",Full Stack Developer Intern
5.55,2,2,1,"CSS, JavaScript, MongoDB, Terraform, Jenkins",Full Stack Developer Intern
5.81,2,0,1,"JavaScript, React, MongoDB, Wireframing, Cloud Architecture",Full Stack Developer Intern
8.82,0,3,2,"HR Policies, Excel, Recruitment, React, Cloud Architecture",HR Operations Intern
6.42,4,0,0,"JavaScript, MongoDB, React, Linux, Bash",Full Stack Developer Intern
5.97,4,2,2,"User Research, Prototyping, Figma, Docker, Machine Learning",UI/UX Design Intern
7.21,3,3,0,"NumPy, Python, Machine Learning, CI/CD, MongoDB",AI/ML Engineer Intern
8.09,5,1,0,"Wireframing, Prototyping, User Research, Machine Learning, HR Policies",UI/UX Design Intern
6.8,3,0,2,"User Research, Wireframing, Prototyping, Linux, Machine Learning",UI/UX Design Intern
6.61,2,1,0,"Cloud Architecture, AWS, Terraform, Dart, JavaScript",Cloud Computing Intern
5.68,1,3,2,"Flutter, Dart, Firebase, Wireframing, Azure",Flutter Developer Intern
6.93,1,0,0,"Pandas, TensorFlow, NumPy, Statistics, Docker",AI/ML Engineer Intern
8.15,0,0,1,"Statistics, Python, Data Visualization, CSS, NumPy",Data Science Intern
5.76,0,0,2,"Azure, Terraform, Cloud Architecture, Firebase, MongoDB",Cloud Computing Intern
6.64,5,3,2,"Mobile Development, Firebase, Flutter, CI/CD, Excel",Flutter Developer Intern
9.46,1,0,2,"Wireframing, Figma, Prototyping, NumPy, HR Policies",UI/UX Design Intern
8.89,5,3,1,"Terraform, AWS, GCP, Pandas, Machine Learning",Cloud Computing Intern
9.34,4,0,2,"Mobile Development, Dart, Flutter, Wireframing, CI/CD",Flutter Developer Intern
6.22,0,0,0,"Firebase, Flutter, Dart, CI/CD, Wireframing",Flutter Developer Intern
